,expiration_timestamp,option_type,instrument_name,strike,underlying_price,underlying_index,timestamp,stats,state,settlement_price,open_interest,min_price,max_price,mark_price,mark_iv,last_price,interest_rate,index_price,greeks,estimated_delivery_price,change_id,bids,bid_iv,best_bid_price,best_bid_amount,best_ask_price,best_ask_amount,asks,ask_iv
313,1599984000000,put,BTC-13SEP20-10250-P,10250.0,10436.44,SYN.BTC-13SEP20,1599952114686,"{'volume': 112.6, 'price_change': -77.7778, 'low': 0.001, 'high': 0.0055}",open,0.0,109.5,0.0001,0.0215,0.00070845,45.13,0.001,0.0,10435.74,"{'vega': 0.5954, 'theta': -7.39365, 'rho': -0.01095, 'gamma': 0.0012, 'delta': -0.10314}",10435.74,21945633849,"[[0.0005, 41.9]]",41.18,0.0005,41.9,0.001,2.0,"[[0.001, 2.0], [0.0015, 2.3], [0.002, 30.5], [0.0025, 39.0], [0.003, 30.0], [0.0385, 0.1]]",49.85
314,1608883200000,put,BTC-25DEC20-11000-P,11000.0,10600.97,BTC-25DEC20,1599952114685,"{'volume': 0.5, 'price_change': 0.0, 'low': 0.188, 'high': 0.188}",open,0.19,354.6,0.125,0.2425,0.1766643,73.11,0.188,0.0,10435.74,"{'vega': 22.39503, 'theta': -7.91951, 'rho': -19.12439, 'gamma': 0.0001, 'delta': -0.46035}",10435.74,21945637100,"[[0.176, 2.0], [0.174, 14.4], [0.17, 5.0], [0.1695, 0.3], [0.1115, 0.1], [0.0095, 0.1], [0.0015, 1.0]]",72.8,0.176,2.0,0.179,0.5,"[[0.179, 0.5], [0.1805, 14.4], [0.1815, 2.0], [0.1825, 5.0], [0.2385, 0.1], [0.2395, 0.1], [0.34, 0.1]]",74.22
315,1601625600000,put,BTC-2OCT20-8250-P,8250.0,10471.55,SYN.BTC-2OCT20,1599952115692,"{'volume': 1.0, 'price_change': 0.0, 'low': 0.0065, 'high': 0.0065}",open,0.01,2.0,0.0001,0.0255,0.006756,77.77,0.0065,0.0,10435.49,"{'vega': 3.5082, 'theta': -7.04285, 'rho': -0.46937, 'gamma': 8e-05, 'delta': -0.07771}",10435.49,21945605150,"[[0.006, 30.0], [0.0055, 30.0], [0.005, 42.0], [0.0005, 0.2]]",75.45,0.006,30.0,0.0075,30.0,"[[0.0075, 30.0], [0.008, 43.0], [0.0085, 30.0], [0.011, 0.2], [0.0115, 0.2]]",79.94
316,1616745600000,call,BTC-26MAR21-5000-C,5000.0,10737.83,BTC-26MAR21,1599952115690,"{'volume': 6.0, 'price_change': 0.0, 'low': 0.529, 'high': 0.529}",open,0.55,8.1,0.5275,0.582,0.55109712,79.35,0.529,0.0,10435.49,"{'vega': 8.55954, 'theta': -1.74715, 'rho': 22.59505, 'gamma': 2e-05, 'delta': 0.94625}",10435.49,21945612565,"[[0.536, 7.0], [0.535, 0.2], [0.3955, 1.1]]",50.14,0.536,7.0,0.566,7.0,"[[0.566, 7.0], [0.5845, 0.2]]",95.58
317,1601020800000,call,BTC-25SEP20-4000-C,4000.0,10460.58,BTC-25SEP20,1599952116697,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,0.61,470.9,0.603,0.6325,0.61761193,136.88,0.6065,0.0,10435.53,"{'vega': 0.00325, 'theta': -0.01801, 'rho': 1.35533, 'gamma': 0.0, 'delta': 0.99996}",10435.53,21935556405,"[[0.006, 0.1]]",0.0,0.006,0.1,0.6895,0.2,"[[0.6895, 0.2]]",500.0
318,1601020800000,call,BTC-25SEP20-13000-C,13000.0,10460.58,BTC-25SEP20,1599952116697,"{'volume': 113.2, 'price_change': -20.0, 'low': 0.002, 'high': 0.003}",open,0.0,2505.8,0.0001,0.017,0.00223922,67.48,0.002,0.0,10435.53,"{'vega': 1.85021, 'theta': -5.04743, 'rho': 0.15429, 'gamma': 7e-05, 'delta': 0.04577}",10435.53,21945264627,"[[0.002, 0.3], [0.0015, 16.0], [0.001, 57.7], [0.0005, 30.9]]",66.09,0.002,0.3,0.0025,31.1,"[[0.0025, 31.1], [0.003, 29.5], [0.0035, 30.0], [0.004, 16.0], [0.008, 3.0], [0.012, 0.1], [0.0135, 1.0], [0.032, 40.0], [0.05, 71.0], [0.355, 0.3], [0.385, 0.1], [0.6895, 0.2]]",68.91
319,1601020800000,put,BTC-25SEP20-12500-P,12500.0,10460.58,BTC-25SEP20,1599952116697,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,0.21,5.1,0.161,0.2405,0.19801458,61.55,0.165,0.0,10435.53,"{'vega': 2.43742, 'theta': -6.0651, 'rho': -4.01686, 'gamma': 0.00011, 'delta': -0.93514}",10435.53,21943284598,[],0.0,0.0,0.0,0.3,0.1,"[[0.3, 0.1], [0.758, 0.1]]",233.84
320,1606464000000,put,BTC-27NOV20-9000-P,9000.0,10557.6,SYN.BTC-27NOV20,1599952116699,"{'volume': 0.3, 'price_change': 0.0, 'low': 0.0615, 'high': 0.0615}",open,0.06,0.3,0.029,0.1035,0.05878916,70.85,0.0615,0.0,10435.53,"{'vega': 15.42625, 'theta': -7.25083, 'rho': -6.85539, 'gamma': 9e-05, 'delta': -0.25567}",10435.53,21945634522,"[[0.058, 21.7], [0.056, 28.3], [0.054, 9.1], [0.017, 0.1], [0.0075, 0.2], [0.001, 0.5]]",70.31,0.058,21.7,0.0595,28.4,"[[0.0595, 28.4], [0.0625, 31.5]]",71.33
321,1601020800000,put,BTC-25SEP20-2500-P,2500.0,10460.65,BTC-25SEP20,1599952118715,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,0.0,1351.6,0.0001,0.015,0.0,136.92,0.0005,0.0,10435.54,"{'vega': 0.0, 'theta': 0.0, 'rho': 0.0, 'gamma': 0.0, 'delta': 0.0}",10435.54,21945612455,[],0.0,0.0,0.0,0.0005,2.2,"[[0.0005, 2.2], [0.0025, 7.0], [0.008, 17.0], [0.01, 0.2], [0.035, 20.0], [0.05, 20.0], [0.1, 10.5], [0.15, 50.0], [0.155, 0.1], [0.1795, 75.5], [0.6, 0.1]]",308.15
322,1601020800000,call,BTC-25SEP20-10000-C,10000.0,10460.65,BTC-25SEP20,1599952118718,"{'volume': 4.0, 'price_change': 5.9829, 'low': 0.0585, 'high': 0.062}",open,0.06,1490.3,0.0345,0.099,0.0650225,54.51,0.062,0.0,10435.54,"{'vega': 6.78305, 'theta': -14.94766, 'rho': 2.21929, 'gamma': 0.00034, 'delta': 0.69109}",10435.54,21945638792,"[[0.0625, 22.6], [0.062, 5.0], [0.0615, 1.0], [0.06, 6.0], [0.0495, 18.6], [0.046, 0.2], [0.044, 5.0], [0.04, 0.3], [0.021, 2.0]]",50.59,0.0625,22.6,0.068,27.7,"[[0.068, 27.7], [0.0685, 1.0], [0.069, 0.5], [0.0725, 1.0], [0.0875, 0.2], [0.1, 1.0], [0.115, 0.1], [0.1235, 0.5], [0.175, 0.1], [0.181, 0.1], [0.1885, 2.0], [0.235, 0.2], [0.236, 0.2], [0.237, 0.2], [0.238, 0.2], [0.239, 0.2], [0.24, 0.2], [0.241, 0.2], [0.242, 0.2], [0.243, 0.2]]",59.06
